,name,guiname,plural,desc
#,Socialist,Socialist,socialister,"Socialister tror på en omfördelning av rikedom från de rika till de fattiga för att motverka den ojämlikhet som kan uppstå på den fria marknaden. En stor stat, som betalas genom beskattning, tillhandahåller grundläggande tjänster som hälso- och sjukvård, utbildning , bostäder och kollektivtrafik till alla. I grund och botten tror socialister på maximen 'till var och en efter deras behov, från var och en efter deras medel'."
#,Capitalist,Kapitalist,kapitalister,"Kapitalisterna tror på den fria marknadens osynliga hand, som det mest effektiva och rättvisa sättet att fördela resurser. Grundprincipen är att människor har rätt till profit av sitt eget arbete, och att staten ska hålla sig borta från privata företag. Statligt ingripande, såsom statlig hälso-och sjukvård, ses som en snedvridning av marknaden som effektivt tar intäkterna från de hårt arbetande och ger det till de mindre förtjänta."
#,Retired,Pensionär,pensionärer,"Pensionärer, och de gamla som eventuellt fortfarande arbetar är en stark politisk kraft. Valdeltagandet tenderar att vara högt, och de har tid att vara aktiva inom politiska diskussioner. Självfallet är de mer engagerade i hälso- och sjukvårdsfrågor än den genomsnittliga medborgaren, samt är mer känsliga för förändringar i pensionsersättningen, på grund av att i de flesta fallen är den deras enda inkomstkälla."
#,Commuter,Pendlare,pendlare,"Pendlare inkluderar vemsomhelst där resa till jobbet förekommer, oavsett om det sker med bil, tåg, buss, enskensbana eller spårvagn. För pendlare, är transportkostnader samt trafikstockning heta politiska frågor. Pendlare som spenderar stor del av sin tid i trafiken, eller inte kan ta sig till jobbet på grund av strejker kommer istället ha mycket tid att visa politikerna vad de känner."
#,Patriot,Patriot,patrioter,"Patriotism används ofta cyniskt som politiskt spel vid valtillfällen, men för vissa väljare är deras patriotism en grundläggande del av deras nationella identitet. Patrioter vill se en tydlig, distinkt nationell identitet, ett robust militärförsvar för landet, samt starka nationsgränser."
#,Motorist,Bilist,bilister,"Den utsträckning i vilken en väljare anser sig vara en bilist varierar, från en äkta bildåre till en 'vanlig' bilförare. Däremot blir alla som kör bil påverkade på samma sätt av fordonsskatter, vägtullar, skatt på drivmedel, stockning samt vilka som helst incitament eller subventioner gällande drivmedelstyper. Allt detta resulterar i att bilister kan vara en viktig grupp i val."
#,Liberal,Liberal,liberaler,"En svårdefinierad grupp. I vissa länder blir liberalism förväxlat med socialism, men äkta liberalism är tilltron till personliga val och frihet, vilka överlappar flera andra väljargrupper. Liberaler är starkt kritiska till statlig övervakning, och till förmån för principen att individuella val ska respekteras, i allt från sexualitet till ägande av vapen till droganvändning."
#,Religious,Religiös,religiösa,"Religiösas åsikter och känslor varierar såklart stort, men generellt är religiösa väljare positiva skolor med religiös profil samt religiös undervisning, och kommer backa lagar som håller heliga dagar högt, eller skyddar kyrkan från hädelse. I regel, har religiösa väljare en negativ syn på abort och stamcellsforskning. Generellt sett, är religiösa idéer mer pupulära i mindre utvecklade länder."
#,TradeUnionist,Fackmedlem,fackmedlemmar,"Fackliga medlemmar är särskilt engagerade i arbetares rättigheter i stora organisationer, och slåssa för högre lön, kortare arbetstid, och mer rättigheter på jobbet. Fackligt medlemskap kan leda till störra uppbackning för stridsåtgärder (strejker). Låga löner, hög arbetslöshet och brister inom välfärdssektorn kan leda arbetare till att gå med i fackliga organisationer."
#,SelfEmployed,Egenföretagare,egenföretagare,"Egenföretagare inkluderar folk som driver ett litet företag, exempelvis rörmokare och elektriker. Entrepreneurs and small business owners are opposed to too much state regulation and workers rights as they come with bureaucratic costs. They also feel the effects of taxes on sales or capital gains that come from owning your own business."
#,Environmentalist,Environmentalist,environmentalists,"Environmentalists can align with any part of the political spectrum, but they share a concern about pollution, climate change and animal rights. There is a vast range of policies that can address these issues, but environmentalists are concerned more with the outcome than the methods. Pollution and severe weather events will push more citizens into joining the environmentalist group."
#,Wealthy,Wealthy,wealthy people,"Whether their wealth comes from personal effort or inheritance, this group represents the voters who have the most to lose to wealth and income taxes, or taxes on luxury spending. The wealthy are more mobile than any other social group, so difficult to tax effectively. Also note that those on middle incomes aspire to achieve wealth, and generally aspire to not be taxed when it happens."
#,Poor,Poor,poor people,"Those in society that are economically disadvantaged are naturally more reliant on welfare payments from the state, and take a keen interest in inequality and any measures that transfer money from the wealthy one per cent to the rest. Depending on wage levels, this group may include a large or small amount of unemployed people."
#,MiddleIncome,Middle Income,middle-income earners,"Traditionally a large section of the population, but liable to shrink if inequality rises. The middle classes are generally politically moderate, employed, car-owners enjoying a holiday each year and aspire to own their own home outright. The middle classes have a stake in society that they will not want to lose to civil unrest or crime, often leading to centrist views."
#,Parents,Parents,parents,"The extent to which voters consider themselves primarily parents will depend on how many children they have, and how young they are. Those with large young families will be extremely sensitive to issues such as childcare provision or affordability, and the costs and quality of education provision. School safety and transport to school are also big issues."
#,Farmers,Farmers,farmers,"Not just actual farmers, but also people in associated industries and rural communities. Priorities for rural voters often differ from those in capital cities, and any taxes (or more commonly...subsidies) that apply to agriculture will be a huge issue. A tendency to overregulate food production will likely be unpopular with this group."
#,StateEmployees,State Employees,state employees,"Anybody working in a state owned industry or service falls in this group, to which they may or may not identify strongly. This includes state health and education workers, but also often the police, military and local government employees. Nobody is more attuned to cuts in public spending than those voters for whom such cuts directly affect their wages and job prospects."
